time,frequency,confidence
0.000,461.057,0.078359
0.010,493.175,0.064572
0.020,523.500,0.053971
0.030,560.674,0.069474
0.040,606.693,0.071698
0.050,644.688,0.126133
0.060,583.521,0.102274
0.070,578.876,0.146587
0.080,583.976,0.132948
0.090,535.645,0.101468
0.100,584.093,0.095214
0.110,592.069,0.094788
0.120,593.172,0.116080
0.130,596.283,0.108438
0.140,603.679,0.165588
0.150,611.486,0.138173
0.160,615.962,0.111750
0.170,618.734,0.052288
0.180,618.025,0.057471
0.190,618.348,0.064801
0.200,619.958,0.065267
0.210,629.649,0.073191
0.220,639.279,0.084818
0.230,646.660,0.161475
0.240,652.381,0.052902
0.250,659.207,0.017849
0.260,658.783,0.116403
0.270,615.676,0.077706
0.280,579.818,0.097511
0.290,592.385,0.103657
0.300,593.306,0.093907
0.310,594.675,0.144839
0.320,594.934,0.124285
0.330,589.984,0.124988
0.340,587.966,0.076267
0.350,596.514,0.081144
0.360,602.288,0.026457
0.370,603.253,0.031726
0.380,608.451,0.039968
0.390,611.187,0.028448
0.400,616.794,0.031347
0.410,630.032,0.049996
0.420,642.014,0.128841
0.430,649.571,0.106440
0.440,651.973,0.085252
0.450,657.795,0.075363
0.460,661.403,0.083444
0.470,633.103,0.090976
0.480,584.073,0.139633
0.490,593.448,0.135745
0.500,592.833,0.120817
0.510,593.135,0.102279
0.520,594.088,0.123086
0.530,596.780,0.098527
0.540,605.316,0.038909
0.550,556.141,0.032399
0.560,517.727,0.040457
0.570,476.096,0.052404
0.580,443.563,0.057013
0.590,416.844,0.059713
0.600,389.941,0.089840
0.610,385.255,0.113179
0.620,384.642,0.089577
0.630,416.158,0.020325
0.640,458.998,0.041230
0.650,490.926,0.032150
0.660,539.368,0.120889
0.670,594.418,0.067346
0.680,592.985,0.092047
0.690,593.492,0.111431
0.700,593.159,0.107621
0.710,532.883,0.158431
0.720,476.254,0.358831
0.730,419.571,0.232199
0.740,378.687,0.213838
0.750,337.383,0.228388
0.760,309.264,0.157961
0.770,306.297,0.144006
0.780,327.483,0.089658
0.790,339.694,0.076985
0.800,332.558,0.068757
0.810,329.744,0.106907
0.820,323.261,0.135363
0.830,322.822,0.101549
0.840,323.474,0.073282
0.850,333.581,0.080012
