time,frequency,confidence
0.000,129.992,0.079439
0.010,130.749,0.076962
0.020,131.038,0.052385
0.030,132.164,0.074847
0.040,130.035,0.271504
0.050,125.185,0.122547
0.060,116.391,0.556045
0.070,114.721,0.828453
0.080,114.387,0.898308
0.090,114.454,0.883919
0.100,114.446,0.859786
0.110,114.216,0.844002
0.120,113.958,0.842626
0.130,114.231,0.850766
0.140,114.236,0.858233
0.150,113.871,0.807377
0.160,113.938,0.760018
0.170,114.471,0.715868
0.180,114.891,0.723384
0.190,114.798,0.439729
0.200,107.994,0.155377
0.210,107.232,0.141912
0.220,107.807,0.107721
0.230,109.640,0.133410
0.240,112.657,0.129878
0.250,116.465,0.130347
0.260,119.477,0.102506
0.270,119.790,0.153790
0.280,119.471,0.138906
0.290,118.796,0.140632
0.300,116.171,0.131533
0.310,114.366,0.175117
0.320,111.947,0.217509
0.330,109.425,0.186305
0.340,108.966,0.043024
0.350,109.555,0.014981
0.360,109.114,0.010969
0.370,109.300,0.338001
0.380,108.606,0.093613
0.390,107.464,0.440260
0.400,106.456,0.794653
0.410,105.901,0.808865
0.420,105.091,0.868487
0.430,104.731,0.885176
0.440,104.207,0.925418
0.450,104.064,0.939658
0.460,103.864,0.941652
0.470,103.714,0.931679
0.480,103.201,0.919045
0.490,103.558,0.753017
0.500,107.688,0.616891
0.510,120.479,0.040244
0.520,135.007,0.020934
0.530,132.880,0.164617
0.540,132.587,0.310569
0.550,133.582,0.164632
0.560,135.748,0.090563
0.570,137.458,0.095522
0.580,138.817,0.104350
0.590,139.852,0.097206
0.600,141.200,0.152468
0.610,142.198,0.129678
0.620,145.070,0.147784
0.630,148.567,0.070367
0.640,154.411,0.100538
0.650,158.694,0.044744
0.660,160.977,0.357118
0.670,159.423,0.078168
0.680,158.123,0.173873
0.690,159.175,0.417823
0.700,158.660,0.430415
0.710,156.872,0.045555
0.720,146.773,0.013077
0.730,130.929,0.153790
0.740,123.612,0.140742
0.750,124.285,0.126497
0.760,127.370,0.140639
0.770,130.002,0.154306
0.780,133.278,0.166641
0.790,136.983,0.062537
0.800,138.721,0.047045
0.810,142.472,0.088501
0.820,146.801,0.186634
0.830,141.090,0.425062
0.840,134.591,0.610954
0.850,133.467,0.827479
0.860,132.655,0.907307
0.870,132.207,0.915869
0.880,132.145,0.898447
0.890,132.169,0.868317
0.900,132.263,0.878033
0.910,131.918,0.877136
0.920,131.106,0.816852
0.930,130.196,0.682339
0.940,128.502,0.231193
0.950,128.035,0.235474
0.960,125.940,0.321537
0.970,129.644,0.135358
0.980,132.055,0.112455
0.990,130.184,0.101949
1.000,129.502,0.091933
1.010,122.907,0.077405
1.020,119.679,0.148208
1.030,115.956,0.164072
1.040,123.160,0.102283
1.050,133.366,0.037527
1.060,148.454,0.007138
1.070,162.364,0.006960
1.080,160.342,0.290208
1.090,150.427,0.281819
1.100,141.186,0.464754
1.110,139.982,0.756099
1.120,139.828,0.867317
1.130,140.060,0.866067
1.140,141.816,0.842578
1.150,145.043,0.883033
1.160,146.925,0.923644
1.170,147.375,0.923817
1.180,147.601,0.901525
1.190,148.869,0.668495
1.200,150.895,0.305092
1.210,140.947,0.243448
1.220,142.744,0.140888
1.230,148.501,0.407942
1.240,149.255,0.052079
1.250,145.497,0.199656
1.260,138.659,0.153782
1.270,132.550,0.109350
1.280,127.655,0.106251
1.290,126.415,0.121599
